LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Afikpo North;Amata Akpoha Ward;;Ndukwe Health Centre;;;;;
Afikpo North;Amata Akpoha Ward;;MDG Amata Akpoha;;;;;
Afikpo North;Amata Ward B;;MDG Evo-Uko Akpoha;;;;;
Afikpo North;Amata Ward B;;Amaechi  Health Centre;;;;;
Afikpo North;Enohia Itim Ward;;Itim Ukwu General Hospital;;;;;
Afikpo North;Ezeke Amasiri Ward;;PHC Amasiri;;;;;
Afikpo North;Ezeke Amasiri Ward;;Ezeke Health Centre;;;;;
Afikpo North;Ihie Ward;;Ihie Health Post (Afrikpo);;;;;
Afikpo North;Ihie Ward;;St Charles Hospital;;;;;
Afikpo North;Itim Mgbom Ward;;Romic Hospital;;;;;
Afikpo North;Itim Mgbom Ward;;Mgbom Health Centre;;;;;
Afikpo North;Itim Mgbom Ward;;Enohia Nkalu Health Centre;;;;;
Afikpo North;Itim Mgbom Ward;;Amuro Health Center;;;;;
Afikpo North;Kpoghirikpo Ward;;Enohia Itim Health Centre;;;;;
Afikpo North;Kpoghirikpo Ward;;Kpoghirikpo Health Centre;;;;;
Afikpo North;Ndukwe Amasiri Ward;;Ogoubi Health Centre;;;;;
Afikpo North;Ndukwe Amasiri Ward;;Ndukwe Amasiri Health Centre;;;;;
Afikpo North;Ndukwe Amasiri Ward;;MDG Akanto;;;;;
Afikpo North;Ndukwe Amasiri Ward;;Obioma Medical Clinic;;;;;
Afikpo North;Ngodo Amachi Ward;;MDG Amachi;;;;;
Afikpo North;Ngodo Amachi Ward;;Ngodo H/C;;;;;
Afikpo North;Ngodo Amachi Ward;;Afikpo North Local Government Staff Clinic;;;;;
Afikpo North;Ngodo Amachi Ward;;Ausun Specialist Hospital;;;;;
Afikpo North;Nkagbogo Ward;;Nkagbogo Health Centre;;;;;
Afikpo North;Nkpoghoro Ward;;Ndibe Health Centre;;;;;
Afikpo North;Nkpoghoro Ward;;MDG Amankwor;;;;;
Afikpo North;Ohaechara Ward;;Amasiri Health Centre;;;;;
Afikpo North;Ohaisu Afikpo A Ward;;Niger Optical Service (Afrikpo);;;;;
Afikpo North;Ohaisu Afikpo A Ward;;Amachara HC;;;;;
Afikpo North;Ohaisu Afikpo A Ward;;Ohaisu Maternal and Health Centre;;;;;
Afikpo North;Ohaisu Afikpo A Ward;;BY His Grace Mission Hospital & Clinic;;;;;
Afikpo North;Ohaisu Afikpo B Ward;;Victory Hospital;;;;;
Afikpo North;Ohaisu Afikpo B Ward;;Maranatha Home Clinic;;;;;
Afikpo North;Ohaisu Afikpo B Ward;;Afikpo Medical Centre;;;;;
Afikpo North;Ohaisu Afikpo B Ward;;Matermisercordiae Hospital;;;;;
Afikpo North;Ohaisu Afikpo B Ward;;St Paul's Hospital and Maternity;;;;;
Afikpo North;Ohaisu Afikpo B Ward;;Chinemerem Maternity Home;;;;;
Afikpo North;Ohaisu Afikpo B Ward;;Amangbala Health Centre;;;;;
Afikpo North;Ohaisu Afikpo B Ward;;Atims family Health Centre;;;;;
Afikpo North;Ohaisu Afikpo B Ward;;Divine Mercy Care Clinic;;;;;
Afikpo North;Ozziza Ward;;MDG Amikpo;;;;;
Afikpo North;Ozziza Ward;;Ugo Hospital;;;;;
Afikpo North;Ozziza Ward;;Ozizza Health Centre;;;;;
Afikpo North;Ozziza Ward;;Imama Health Post;;;;;
Afikpo North;Ozziza Ward;;Amata ozizza HC;;;;;
Afikpo North;Ozziza Ward;;Ora HC;;;;;
Afikpo North;Ozziza Ward;;Ozaka Okangwu Health Post;;;;;
Afikpo North;Poperi Amasiri Ward;;Poperi Health Post;;;;;
Afikpo North;Ugwuegu Ward;;Ugwuegu Health Centre;;;;;
Afikpo North;Uwana Afikpo 1 Ward;;Akanu Ibiam Memorial Comprehensive Health Centre;;;;;
Afikpo North;Uwana Afikpo 1 Ward;;Amaokom Health Centre;;;;;
Afikpo North;Uwana Afikpo 1 Ward;;Unwana Health Centre;;;;;
Afikpo South;Amaigbo Ward;;Amaoba Health Post;;;;;
