LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Bongo;Valley Zone;;Vea Health Centre;;;;;
Bongo;Zorko;;AtansekaCHPS;;;;;
Bongo;Zorko;;Gamborogo CHPS;;;;;
Bongo;Zorko;;Goo Awaa CHPS;;;;;
Bongo;Zorko;;Kadare CHPS;;;;;
Bongo;Zorko;;Kodorogo CHPS;;;;;
Bongo;Zorko;;TarongoCHPS;;;;;
Bongo;Zorko;;Zorko Health Centre;;;;;
Builsa North;Chuchuliga;;Chuchuliga Yipaala CHPS;;;;;
Builsa North;Chuchuliga;;Achanyeri-Goayie CHPS;;;;;
Builsa North;Chuchuliga;;Chuchuliga Health Centre;;;;;
Builsa North;Chuchuliga;;Namonsa CHPS;;;;;
Builsa North;Chuchuliga;;Nanjupiung CHPS;;;;;
Builsa North;Kadema;;Kadema CHPS;;;;;
Builsa North;Kadema;;Mutiensa CHPS;;;;;
Builsa North;Sandema East;;Kalijiisa CHPS;;;;;
Builsa North;Sandema East;;Kori CHPS;;;;;
Builsa North;Sandema West;;Kandema CHPS;;;;;
Builsa North;Sandema West;;Sandema Hospital;;;;;
Builsa North;Sandema West;;Sanwaasa CHPS;;;;;
Builsa North;Siniensi;;Siniensi Community Clinic;;;;;
Builsa North;Siniensi;;Yikpieng/Jansa CHPS;;;;;
Builsa North;Siniensi;;Zundema CHPS;;;;;
Builsa North;Wiaga;;Chiok CHPS;;;;;
Builsa North;Wiaga;;Farinsa CHPS;;;;;
Builsa North;Wiaga;;Kom CHPS;;;;;
Builsa North;Wiaga;;St. Lucas Health Centre;;;;;
Builsa South;Doninga;;Bachongsa CHPS;;;;;
Builsa South;Doninga;;Doninga Health Centre;;;;;
Builsa South;Doninga;;Wupiensa CHPS;;;;;
Builsa South;Fumbisi;;Fumbisi Health Centre;;;;;
Builsa South;Fumbisi;;Kasiesa CHPS;;;;;
Builsa South;Fumbisi;;Opus Dei Medical Center;;;;;
Builsa South;Gbedema;;Gbedema CHPS;;;;;
Builsa South;Gbedema;;Jagsa CHPS;;;;;
Builsa South;Gbedema;;Kunkwak CHPS;;;;;
Builsa South;Kanjarga;;Jiningsa CHPS;;;;;
Builsa South;Kanjarga;;Kanjarga Health Centre;;;;;
Builsa South;Kanjarga;;Luisa CHPS;;;;;
Builsa South;Kanjarga;;Musidema CHPS;;;;;
Builsa South;Uwasi;;Chansa CHPS;;;;;
Builsa South;Uwasi;;Uwasi CHPS;;;;;
Builsa South;Uwasi;;Zamsa CHPS;;;;;
Builsa South;Wiesi;;Gbedemblisi CHPS;;;;;
Builsa South;Wiesi;;Wiesi CHPS;;;;;
Garu-Tempane;Basyonde;;Akara CHPS;;;;;
Garu-Tempane;Basyonde;;Basyonde Health Centre;;;;;
Garu-Tempane;Basyonde;;Kongo CHPS;;;;;
Garu-Tempane;Basyonde;;Kongo Clinic;;;;;
Garu-Tempane;Basyonde;;Kpalsako CHPS;;;;;
Garu-Tempane;Basyonde;;Nagani CHPS;;;;;
Garu-Tempane;Basyonde;;Tarivago CHPS;;;;;
Garu-Tempane;Basyonde;;Yeogo CHPS;;;;;
Garu-Tempane;Bugri;;Abaripusiga CHPS;;;;;
Garu-Tempane;Bugri;;Bugpiegu CHPS;;;;;
Garu-Tempane;Bugri;;Bugri Health Centre;;;;;
Garu-Tempane;Bugri;;Bulpielsi CHPS;;;;;
Garu-Tempane;Bugri;;Gagbiri CHPS;;;;;
Garu-Tempane;Bugri;;Kugasheigu CHPS;;;;;
Garu-Tempane;Bugri;;Tariganga CHPS;;;;;
Garu-Tempane;Denugu;;Bimpella CHPS (Delete from dhims));;;;;
Garu-Tempane;Denugu;;Dabilla CHPS;;;;;
Garu-Tempane;Denugu;;Denugu CHPS;;;;;
Garu-Tempane;Denugu;;Denugu Clinic;;;;;
Garu-Tempane;Denugu;;Dusbuliga CHPS;;;;;
Garu-Tempane;Denugu;;Duuri CHPS;;;;;
Garu-Tempane;Denugu;;SIISI CHPS;;;;;
Garu-Tempane;Denugu;;Wakuan CHPS;;;;;
Garu-Tempane;Garu;;Garu Health Centre;;;;;
