LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Asuogyaman;Adjena Gyakiti;;Sedorm CHPS;;;;;
Asuogyaman;Akosombo;;Akosombo VRA Hospital;;;;;
Asuogyaman;Akosombo;;Naabs Clinic;;;;;
Asuogyaman;Akwamufie Apeguso;;Aboasa CHPS;;;;;
Asuogyaman;Akwamufie Apeguso;;Akwamufie Health Center;;;;;
Asuogyaman;Akwamufie Apeguso;;Apeguso Clinic;;;;;
Asuogyaman;Akwamufie Apeguso;;Ayensu CHPS;;;;;
Asuogyaman;Akwamufie Apeguso;;Frankadua Clinic;;;;;
Asuogyaman;Akwamufie Apeguso;;Mangoase (asuogyaman) CHPS;;;;;
Asuogyaman;Akwamufie Apeguso;;Osiabura CHPS;;;;;
Asuogyaman;Anum Boso;;Anum Boso Salvation Army Clinic;;;;;
Asuogyaman;Anum Boso;;Asikuma CHPS;;;;;
Asuogyaman;Anum Boso;;Boso Health Center;;;;;
Asuogyaman;Anum Boso;;Dodi Asantekrom CHPS;;;;;
Asuogyaman;Anum Boso;;New Dodi CHPS;;;;;
Asuogyaman;Atimpoku;;Atimpoku Rch;;;;;
Asuogyaman;Atimpoku;;Dzidzorkope CHPS;;;;;
Asuogyaman;Atimpoku;;Ghanakpe CHPS;;;;;
Asuogyaman;Atimpoku;;Small London;;;;;
Asuogyaman;Atimpoku;;Small London MW;;;;;
Asuogyaman;Atimpoku;;Tortibo CHPS;;;;;
Atiwa;Abomosu;;Abomosu Health Centre;;;;;
Atiwa;Abomosu;;Akakom CHPS;;;;;
Atiwa;Abomosu;;Akwaduusu CHPS;;;;;
Atiwa;Abomosu;;Asamanma CHPS;;;;;
Atiwa;Abomosu;;Asunafo (atiwa) CHPS;;;;;
Atiwa;Abomosu;;Ekoso CHPS;;;;;
Atiwa;Abomosu;;Sankubenase CHPS;;;;;
Atiwa;Abomosu;;Wekpeti CHPS;;;;;
Atiwa;Anyinam;;Adasawase CHPS;;;;;
Atiwa;Anyinam;;Aggie (atiwa) Maternity;;;;;
Atiwa;Anyinam;;Anyinam Health Centre;;;;;
Atiwa;Anyinam;;Asamang Tamfoe CHPS;;;;;
Atiwa;Anyinam;;Enyiresi Hospital;;;;;
Atiwa;Anyinam;;Healthline Medical Center;;;;;
Atiwa;Anyinam;;Moseaso(atiwa) CHPS;;;;;
Atiwa;Awenare;; Akropong (atiwa) CHPS;;;;;
Atiwa;Awenare;; Awenare Health Center;;;;;
Atiwa;Awenare;; Banso CHPS;;;;;
Atiwa;Awenare;; Larbikrom CHPS;;;;;
Atiwa;Awenare;; Pemeng CHPS;;;;;
Atiwa;Awenare;; Tumfa CHPS;;;;;
Atiwa;Kadewaso;; Kadewaso CHPS;;;;;
Atiwa;Kadewaso;; Tiawia CHPS;;;;;
Atiwa;Kwabeng;;Abrenya CHPS;;;;;
Atiwa;Kwabeng;;Akrofufu CHPS;;;;;
Atiwa;Kwabeng;;Bomaa CHPS;;;;;
Atiwa;Kwabeng;;Kwabeng (atiwa) Health Centre;;;;;
Atiwa;New Jejeti;;Abekwase CHPS;;;;;
Atiwa;New Jejeti;;Akutuase (atiwa) CHPS;;;;;
Atiwa;New Jejeti;;Aworensua CHPS;;;;;
Atiwa;New Jejeti;;Awosoase CHPS;;;;;
Atiwa;New Jejeti;;New Jejeti Health Centre;;;;;
Atiwa;New Jejeti;;Osoroase CHPS;;;;;
Atiwa;New Jejeti;;Sekyere CHPS;;;;;
Ayensuano;Amanase SD;;Aboabo CHPS;;;;;
Ayensuano;Amanase SD;;Amanase Health Centre;;;;;
Ayensuano;Amanase SD;;Ayekokooso CHPS;;;;;
Ayensuano;Anum Apapam;;Anum Apapam Rch;;;;;
Ayensuano;Anum Apapam;;Kwadwohum/Abeho CHPS;;;;;
Ayensuano;Anum Apapam;;Obuoho CHPS;;;;;
Ayensuano;Anum Apapam;;Obuohu CHPS;;;;;
Ayensuano;Asuboi;;Apau-wawase CHPS;;;;;
Ayensuano;Asuboi;;Asuboi Health Center;;;;;
Ayensuano;Asuboi;;Mankrong CHPS;;;;;
Ayensuano;Coaltar;;Bepoase Coaltar CHPS;;;;;
Ayensuano;Coaltar;;Coaltar Rch;;;;;
Ayensuano;Coaltar;;Dodukrom CHPS;;;;;
Ayensuano;Dorkrochiwa;;Dokrokyiwa Health Centre;;;;;
Ayensuano;Dorkrochiwa;;Yaw Donkor CHPS;;;;;
Ayensuano;Kofi Pare;;Kofi Pare Rch;;;;;
Ayensuano;Kofi Pare;;Kwaboanta CHPS;;;;;
Ayensuano;Kuano;;Achiansa CHPS;;;;;
Ayensuano;Kuano;;Dome CHPS(Ayen);;;;;
Ayensuano;Kuano;;Kuano CHPS;;;;;
Ayensuano;Kuano;;Mfranta CHPS;;;;;
Ayensuano;Kuano;;Sowatey CHPS;;;;;
Ayensuano;Marfo;;Marfo Rch;;;;;
Ayensuano;Marfo;;Otoase CHPS;;;;;
Ayensuano;Teacher Mante;;Amponsahene CHPS;;;;;
Ayensuano;Teacher Mante;;Govinakrom CHPS;;;;;
Ayensuano;Teacher Mante;;Teacher Mante CHPS;;;;;
Birim Central;Akroso;;Akroso CHPS;;;;;
Birim Central;Akroso;;Akroso Health Center;;;;;
Birim Central;Akroso;;Amanfrom (birim Central) CHPS;;;;;
Birim Central;Akroso;;Apeadam CHPS;;;;;
Birim Central;Akroso;;Teacher Atta CHPS;;;;;
Birim Central;Akroso;;Yaw Donkor CHPS;;;;;
Birim Central;Asene;;Aboabo CHPS;;;;;
Birim Central;Asene;;Asene CHPS;;;;;
Birim Central;Asene;;Batabi CHPS;;;;;
Birim Central;Asene;;Essam CHPS;;;;;
Birim Central;Asuboa;;Asanteman CHPS;;;;;
Birim Central;Asuboa;;Asuboa CHPS;;;;;
Birim Central;Asuboa;;Mofram CHPS;;;;;
Birim Central;Asuoso;;Asuoso CHPS;;;;;
Birim Central;Asuoso;;Emmanuel Maternity Clinic;;;;;
Birim Central;Asuoso;;Emmauel Maternity;;;;;
Birim Central;Asuoso;;Nyame Nti CHPS;;;;;
Birim Central;Asuoso;;St Theresa Hospital;;;;;
Birim Central;Attiankama Nkwanta;;Atiankama CHPS;;;;;
Birim Central;Attiankama Nkwanta;;Onomabo CHPS;;;;;
Birim Central;Attiankama Nkwanta;;Suponso CHPS;;;;;
Birim Central;Badukrom;;Apinto CHPS;;;;;
Birim Central;Badukrom;;Badukrom CHPS;;;;;
Birim Central;Badukrom;;Tabita CHPS;;;;;
Birim Central;Eshiem;;Asibirim CHPS;;;;;
Birim Central;Eshiem;;Bantama CHPS;;;;;
Birim Central;Eshiem;;Eshiem CHPS;;;;;
Birim Central;Eshiem;;Kyeremase CHPS;;;;;
Birim Central;Eshiem;;Mante CHPS;;;;;
Birim Central;Eshiem;;Otaipro CHPS;;;;;
Birim Central;Jamaica;;Boafo Mobile Clinic;;;;;
Birim Central;Jamaica;;EPL CHPS;;;;;
Birim Central;Jamaica;;Jamaica CHPS;;;;;
Birim Central;Jamaica;;Jubilee Hospital (BIC);;;;;
Birim Central;Jamaica;;O Right CHPS;;;;;
Birim Central;Jamaica;;Oda Hospital;;;;;
Birim Central;Manso (eastern);;Manso CHPS;;;;;
Birim Central;Manso (eastern);;Odumase CHPS;;;;;
Birim Central;Oda New Town;;Community 6 CHPS;;;;;
Birim Central;Oda New Town;;Herald Foundation CHPS;;;;;
Birim Central;Oda New Town;;Mawuli / Quarters CHPS;;;;;
Birim Central;Oda New Town;;Oda CHPS;;;;;
Birim Central;Oda New Town;;Old Premier CHPS;;;;;
