AMAPCODE;AMPA State;AMAP LGA;State;LGA;LGA from Facilities
NIE;BOS;CBK;Borno;Chibok;Chibok
NIE;BOS;DAM;Borno;Damboa;Damboa
NIE;BOS;DKW;Borno;Dikwa;Dikwa
NIE;BOS;GUB;Borno;Gubio;Gubio
NIE;BOS;GBL;Borno;Guzamala;Guzamala
NIE;BOS;GZA;Borno;Gwoza;Gwoza
NIE;BOS;HWL;Borno;Hawul;Hawul
NIE;BOS;JRE;Borno;Jere;Jere
NIE;BOS;KGG;Borno;Kaga;Kaga
NIE;BOS;KBG;Borno;Kala/Balge;Kala/Balge
NIE;BOS;KDG;Borno;Konduga;Konduga
NIE;BOS;KWA;Borno;Kukawa;Kukawa
NIE;BOS;KWY;Borno;Kwaya Kusar;Kwaya Kusar
NIE;BOS;MAF;Borno;Mafa;Mafa
NIE;BOS;MGM;Borno;Magumeri;Magumeri
NIE;BOS;MAG;Borno;Maiduguri;Maiduguri
NIE;BOS;MAR;Borno;Marte;Marte
NIE;BOS;MBR;Borno;Mobbar;Mobbar
NIE;BOS;MNG;Borno;Monguno;Monguno
NIE;BOS;NGL;Borno;Ngala;Ngala
NIE;BOS;NGZ;Borno;Nganzai;Nganzai
NIE;BOS;SHN;Borno;Shani;Shani
NIE;CRS;TGD;Cross River;Abi;Abi
NIE;CRS;KAM;Cross River;Akamkpa;Akamkpa
NIE;CRS;KTA;Cross River;Akpabuyo;Akpabuyo
NIE;CRS;BKS;Cross River;Bakassi;Bakassi
NIE;CRS;ABE;Cross River;Bekwarra;Bekwarra
NIE;CRS;AKP;Cross River;Biase;Biase
NIE;CRS;BJE;Cross River;Boki;Boki
NIE;CRS;CAL;Cross River;Calabar Municipal;Calabar Municipal
NIE;CRS;ANA;Cross River;Calabar South;Calabar South
NIE;CRS;EFE;Cross River;Etung;Etung
NIE;CRS;KMM;Cross River;Ikom;Ikom
NIE;CRS;BNS;Cross River;Obanliku;Obanliku
NIE;CRS;BRA;Cross River;Obubra;Obubra
NIE;CRS;UDU;Cross River;Obudu;Obudu
NIE;CRS;DUK;Cross River;Odukpani;Odukpani
NIE;CRS;GGJ;Cross River;Ogoja;Ogoja
NIE;CRS;GEP;Cross River;Yakurr;Yakurr
NIE;CRS;CKK;Cross River;Yala;Yala
NIE;DTS;SLK;Delta;Aniocha North;Aniocha North
