region;district;epidcode;growthrate
Kaduna;Kajuru;KJR;3.0
Kaduna;Kaura;KRA;3.0
Kaduna;Kauru;KRU;3.0
Kaduna;Kubau;ANC;3.0
Kaduna;Kudan;HKY;3.0
Kaduna;Lere;SNK;3.0
Kaduna;Makarfi;MKR;3.0
Kaduna;Sabon Gari;SBG;3.0
Kaduna;Sanga;GWT;3.0
Kaduna;Soba;MGN;3.0
Kaduna;Zangon Kataf;ZKW;3.0
Kaduna;Zaria;ZAR;3.0
Kano;Ajingi;AJG;3.3
Kano;Albasu;ABS;3.3
Kano;Bagwai;BGW;3.3
Kano;Bebeji;BBJ;3.3
Kano;Bichi;BCH;3.3
Kano;Bunkure;BNK;3.3
Kano;Dala;DAL;3.3
Kano;Danbatta;DBT;3.3
Kano;Dawakin Kudu;DKD;3.3
Kano;Dawakin Tofa;DTF;3.3
Kano;Doguwa;DGW;3.3
Kano;Fagge;FGE;3.3
Kano;Gabasawa;GSW;3.3
Kano;Garko;GAK;3.3
Kano;Garum Mallam;GNM;3.3
Kano;Gaya;GYA;3.3
Kano;Gezawa;GZW;3.3
Kano;Gwale;GWL;3.3
Kano;Gwarzo;GRZ;3.3
Kano;Kabo;KBK;3.3
Kano;Kano Municipal;KMC;3.3
Kano;Karaye;KRY;3.3
Kano;Kibiya;KBY;3.3
Kano;Kiru;KKU;3.3
Kano;Kumbotso;KBT;3.3
Kano;Kunchi;KNC;3.3
Kano;Kura;KUR;3.3
Kano;Madobi;MDB;3.3
Kano;Makoda;MKK;3.3
Kano;Minjibir;MJB;3.3
Kano;Nassarawa;NSR;3.3
Kano;Rano;RAN;3.3
Kano;Rimin Gado;RMG;3.3
Kano;Rogo;RGG;3.3
Kano;Shanono;SNN;3.3
Kano;Sumaila;SML;3.3
Kano;Takai;TAK;3.3
Kano;Tarauni;TRN;3.3
Kano;Tofa;TFA;3.3
Kano;Tsanyawa;TYW;3.3
Kano;Tudun Wada;TWD;3.3
Kano;Ungogo;UGG;3.3
Kano;Warawa;WRA;3.3
Kano;Wudil;WDL;3.3
Katsina;Bakori;BKR;3.0
Katsina;Batagarawa;BAT;3.0
Katsina;Batsari;BTR;3.0
Katsina;Baure;BRE;3.0
Katsina;Bindawa;BDW;3.0
Katsina;Charanchi;CRC;3.0
Katsina;Dan Musa;DMS;3.0
Katsina;Dandume;DDM;3.0
Katsina;Danja;DJA;3.0
Katsina;Daura;DRA;3.0
Katsina;Dutsi;DTS;3.0
