region;district;community
Analamanga;Andramasina;Sabotsy Manjakavahoaka
Analamanga;Andramasina;Anosibe Trimoloharano
Vakinankaratra;Faratsiho;Faratsiho
Vakinankaratra;Faratsiho;Antsampanimahazo
Vakinankaratra;Faratsiho;Faravohitra
Vakinankaratra;Faratsiho;Ramainandro
Vakinankaratra;Faratsiho;Andranomiady
Vakinankaratra;Faratsiho;Vinaninony Atsimo
Vakinankaratra;Faratsiho;Ambohiborona
Vakinankaratra;Faratsiho;Miandrarivo
Vakinankaratra;Faratsiho;Valabetokana
Analamanga;Antananarivo Atsimondrano;Ampitatafika
Analamanga;Antananarivo Atsimondrano;Anosizato Andrefana
Analamanga;Antananarivo Atsimondrano;Andranonahoatra
Analamanga;Antananarivo Atsimondrano;Ambohidrapeto
Analamanga;Antananarivo Atsimondrano;Bemasoandro
Analamanga;Antananarivo Atsimondrano;Fiombonana
Analamanga;Antananarivo Atsimondrano;Itaosy
Analamanga;Antananarivo Atsimondrano;Ambavahaditokana
Analamanga;Antananarivo Atsimondrano;Tanjombato
Analamanga;Antananarivo Atsimondrano;Andoharanofotsy
Analamanga;Antananarivo Atsimondrano;Ankaraobato
Analamanga;Antananarivo Atsimondrano;Soalandy
Analamanga;Antananarivo Atsimondrano;Antanetikely
Analamanga;Antananarivo Atsimondrano;Alatsinainy Ambazaha
Analamanga;Antananarivo Atsimondrano;Ampanefy
Analamanga;Antananarivo Atsimondrano;Ankadimanga
Analamanga;Antananarivo Atsimondrano;Fenoarivo
Analamanga;Antananarivo Atsimondrano;Alakamisy Fenoarivo
Analamanga;Antananarivo Atsimondrano;Soavina
Analamanga;Antananarivo Atsimondrano;Ambohijanaka
Analamanga;Antananarivo Atsimondrano;Ampahitrosy
Analamanga;Antananarivo Atsimondrano;Bongatsara
Analamanga;Antananarivo Atsimondrano;Androhibe
Analamanga;Antananarivo Atsimondrano;Tsiafahy
Analamanga;Antananarivo Atsimondrano;Ambalavao
Analamanga;Antananarivo Atsimondrano;Ambatofahavalo
Vakinankaratra;Antsirabe II;Ambano
Vakinankaratra;Antsirabe II;Belazao
Vakinankaratra;Antsirabe II;Alakamisy
Vakinankaratra;Antsirabe II;Antanimandry
Vakinankaratra;Antsirabe II;Vinaninkarena
Vakinankaratra;Antsirabe II;Andranomanelatra
Vakinankaratra;Antsirabe II;Ambohidranandriana
Vakinankaratra;Antsirabe II;Ambohimiarivo
Vakinankaratra;Antsirabe II;Ambohitsimanova
Vakinankaratra;Antsirabe II;Mangarano
Vakinankaratra;Antsirabe II;Manandona
Vakinankaratra;Antsirabe II;Antsoatany
Vakinankaratra;Antsirabe II;Alatsinainy Ibity
Vakinankaratra;Antsirabe II;Sahanivotry Manandona
Vakinankaratra;Antsirabe II;Soanindrariny
Vakinankaratra;Antsirabe II;Ambatomena
Vakinankaratra;Antsirabe II;Ambohibary
Vakinankaratra;Antsirabe II;Mandrosohasina
Vakinankaratra;Antsirabe II;Tsarahonenana Sahanivotry
Vakinankaratra;Antsirabe II;Antanambao
Bongolava;Fenoarivobe;Fenoarivo Centre
Bongolava;Fenoarivobe;Firavahana
Bongolava;Fenoarivobe;Morarano Maritampona
Bongolava;Fenoarivobe;Kiranomena
Bongolava;Fenoarivobe;Tsinjoarivo 22
Bongolava;Fenoarivobe;Mahajeby
